 written on 27Jun2024 at 19:21:55 
   2.5102669999999998        0.0000000000000000        0.0000000000000000     
  -1.2551334999999999        2.1739549999999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
          12
         151
    2    1    1    1    2    2    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    2    2    1    1    1
    2

   -8   -4    0
    1    1   -0.39308301E-01  0.16215738E-01
    2    1    0.48129235E-02 -0.17694528E-01
    3    1   -0.29410459E-01 -0.12711510E-01
    4    1   -0.70940449E-02 -0.95033770E-02
    5    1    0.98993616E-02 -0.15091192E-02
    6    1   -0.34886058E-01 -0.24822809E-01
    7    1    0.14727268E-03 -0.74630667E-02
    8    1    0.15117070E-01  0.74546059E-02
    9    1   -0.46324160E-02  0.17739228E-02
   10    1   -0.24486283E-02  0.33490141E-02
   11    1    0.32767299E-02  0.37148781E-01
   12    1   -0.21031331E-01 -0.65291415E-02
    1    2    0.12962343E-02 -0.35768061E-02
    2    2    0.39497356E-01 -0.23275636E-01
    3    2    0.13654508E-01  0.34846484E-02
    4    2    0.10528345E-01  0.19421611E-01
    5    2    0.90844282E-02 -0.14989451E-02
    6    2    0.18940604E-01  0.27126793E-01
    7    2   -0.14937474E-03 -0.34728673E-01
    8    2   -0.68644250E-02 -0.17926651E-01
    9    2   -0.10660179E-01  0.23371983E-01
   10    2   -0.20312971E-01 -0.76502796E-02
   11    2    0.29135922E-02 -0.66492878E-03
   12    2   -0.26605219E-02 -0.12968425E-01
    1    3   -0.39648166E-02  0.28222505E-01
    2    3   -0.15535172E-01 -0.18936950E-01
    3    3   -0.73089328E-02 -0.20786296E-01
    4    3    0.17733092E-02  0.25883191E-02
    5    3   -0.11055984E-01 -0.79642121E-02
    6    3    0.31116197E-01 -0.15903494E-01
    7    3    0.49278477E-02 -0.43327211E-02
    8    3   -0.11256035E-01  0.84630653E-02
    9    3    0.15802433E-01  0.53148102E-02
   10    3    0.17718059E-02  0.10886803E-01
   11    3   -0.89650106E-02 -0.20581606E-01
   12    3    0.27758078E-02 -0.88513618E-02
    1    4    0.90047452E-03  0.76772467E-02
    2    4   -0.16474374E-01 -0.64845818E-02
    3    4   -0.67755163E-02  0.75035899E-02
    4    4    0.33706928E-02 -0.13147768E-02
    5    4   -0.47993381E-02  0.31540378E-02
    6    4    0.34004474E-02 -0.82021213E-02
    7    4    0.20522425E-02  0.88186315E-03
    8    4    0.23458973E-02  0.50601495E-03
    9    4    0.17234960E-02 -0.13716147E-01
   10    4   -0.12967670E-02  0.85555916E-02
   11    4   -0.31194956E-03 -0.70583064E-02
   12    4   -0.13125142E-01  0.67537170E-02
    1    5    0.15491736E-01 -0.25052520E-01
    2    5   -0.24371912E-02 -0.13081214E-01
    3    5   -0.19548294E-01 -0.44756875E-02
    4    5    0.92282248E-04  0.13116373E-02
    5    5   -0.13693154E-02 -0.87445768E-03
    6    5    0.13223077E-01 -0.53442139E-02
    7    5   -0.60426511E-02 -0.72589763E-02
    8    5    0.16365526E-02  0.60146506E-02
    9    5    0.11886746E-02  0.65930103E-04
   10    5   -0.68436405E-03  0.19999403E-01
   11    5    0.27335549E-02  0.20769456E-01
   12    5   -0.15164535E-01  0.89719240E-02
    1    6    0.23174790E-01  0.37207842E-01
    2    6    0.42400315E-02  0.49943997E-01
    3    6   -0.42125347E-02  0.47720596E-02
    4    6   -0.20826531E-02  0.11260009E-01
    5    6    0.12486992E-01  0.15004101E-01
    6    6   -0.20819148E-01  0.15870054E-01
    7    6    0.20001423E-01  0.29178452E-02
    8    6   -0.16392115E-02 -0.14110974E-01
    9    6   -0.97761002E-02 -0.75057746E-02
   10    6    0.28420440E-01 -0.16651994E-01
   11    6    0.96243897E-02 -0.43833178E-01
   12    6    0.27755140E-01  0.22271050E-01
    1    7    0.18394319E-02  0.17773768E-01
    2    7   -0.23220387E-01 -0.31105469E-01
